"postcode","location"
"CH1 5LW","53.201359,-2.926817"
"CH1 5LY","53.199471,-2.923483"
"CH1 5LZ","53.199774,-2.923714"
"CH1 5NA","53.201202,-2.926259"
"CH1 5NB","53.200277,-2.927302"
"CH1 5ND","53.197701,-2.92789"
"CH1 5NE","53.198237,-2.929683"
"CH1 5NF","53.19777,-2.931889"
"CH1 5NG","53.19968,-2.932424"
"CH1 5NJ","53.203486,-2.926099"
"CH1 5NL","53.203836,-2.926271"
"CH1 5NN","53.203652,-2.921027"
"CH1 5NP","53.201078,-2.92714"
"CH1 5NQ","53.199492,-2.933423"
"CH1 5NR","53.201555,-2.927105"
"CH1 5NS","53.203203,-2.927875"
"CH1 5NT","53.201251,-2.924569"
"CH1 5NU","53.203617,-2.92447"
"CH1 5NW","53.203566,-2.921669"
"CH1 5NX","53.201551,-2.926462"
"CH1 5NY","53.201725,-2.926076"
"CH1 5NZ","53.202607,-2.927038"
"CH1 5PA","53.20185,-2.931887"
"CH1 5PB","53.200331,-2.933082"
"CH1 5PD","53.202454,-2.925998"
"CH1 5PE","53.202818,-2.924168"
"CH1 5PF","53.202474,-2.924475"
"CH1 5PG","53.198621,-2.932836"
"CH1 5PH","53.201621,-2.925475"
"CH1 5PJ","53.202253,-2.925189"
"CH1 5PL","53.201017,-2.928037"
"CH1 5PN","53.201343,-2.934661"
